chemical_name,cas_number,purity_grades_sold,certifications,primary_hub_id,primary_hub_label,secondary_hubs,sub_industry_tags_provisional,top_customers,customer_count_3yr,last_shipped_date,total_gp_3yr,total_revenue_3yr,transaction_count_3yr,hubspot_deal_count,hubspot_deal_total_usd,kelly_review_status,reviewer_group_status,source_systems,primary_pnum,all_pnums,pmast
"TANTALUM (V) ETHOXIDE, 99.999% pure, liquid,  Ta(C₂H₅O)₅",LOOKUP_NEEDED,99.999%,None observed,unclassified,Unclassified,,PROVISIONAL: Unclassified,Richter Precision Inc.,1,2025-08-13,12702.06,50176.74,5,2,64379.61,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (2 deals), Invoice 2023, Invoice 2025",18740,18740,18740
"STRONTIUM CARBONATE, 98% pure, powder, Ba SrCO₃",LOOKUP_NEEDED,98%,None observed,unclassified,Unclassified,,PROVISIONAL: Unclassified,0014252,1,2024-06-19,12345.76,55115.0,1,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2024,11174,11174,11174
"SURROGATE WASTE FEED, Melter Feed 23Tuning-2 REVISED for VSL",LOOKUP_NEEDED,Unknown,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,Catholic University of America,1,2023-10-10,12169.16,15516.53,1,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2023,C3052,C3052,C3052
"LITHIUM CHLORIDE, 40% Solution, (Special for Emerson Climate Technologies, Inc), ClLi",LOOKUP_NEEDED,40%,None observed,advanced-manufacturing,Advanced Manufacturing,,PROVISIONAL: Advanced Manufacturing,Emerson Climate Technologies,1,2024-04-05,12142.43,15928.88,1,1,15928.88,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (1 deals), Invoice 2024",C3013,C3013,C3013
"STRONTIUM CHLORIDE, HEXAHYDRATE, ACS Reagent, crystal, SrCl₂.6H₂O",LOOKUP_NEEDED,ACS Reagent | Reagent,ACS Reagent | Reagent,unclassified,Unclassified,Advanced Manufacturing | Life Sciences & Pharma,PROVISIONAL: Unclassified; Advanced Manufacturing; Life Sciences & Pharma,"Sea World Parks  & Entertainment | Corechem, Inc. | Thermo Fisher Scientific",4,2025-11-13,12136.03,17011.2,13,8,12011.3,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (8 deals), Invoice 2023, Invoice 2024, Invoice 2025",90997,90997,90997
"RUTHENIUM (IV) OXIDE, ANHYDROUS, 99.95% pure, -100 mesh, (Ruthenium Dioxide), RuO₂",LOOKUP_NEEDED,99.95%,Anhydrous,unclassified,Unclassified,,PROVISIONAL: Unclassified,Rogers Corporation,1,2024-09-11,12130.8,36178.8,2,1,22111.4,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (1 deals), Invoice 2024",11721,11721,11721
"SURROGATE WASTE FEED, Melter Feed 23Tuning-1 for VSL",LOOKUP_NEEDED,Unknown,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,Catholic University of America,1,2023-10-10,11992.16,15341.16,1,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2023,C3051,C3051,C3051
"VANADIUM (V) OXIDE, 99.6% pure, -20 mesh, (Vanadium Pentoxide), V₂O₅",LOOKUP_NEEDED,99.6%,None observed,unclassified,Unclassified,,PROVISIONAL: Unclassified,Mo-Sci Corporation | Eleqtrion Industries Inc.,2,2025-06-26,11927.44,16530.0,5,4,15920.0,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (4 deals), Invoice 2025",12216,12216,12216
"LITHIUM HYDRIDE, 99.9% pure, -10 mesh,  LiH",LOOKUP_NEEDED,99.9%,None observed,life-sciences-pharma,Life Sciences & Pharma,,PROVISIONAL: Life Sciences & Pharma,Thermo Fisher Scientific | Government Scientific,2,2025-05-14,11897.56,51893.0,10,5,27223.5,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (5 deals), Invoice 2024, Invoice 2025",15144,15144,15144
"STRONTIUM CARBONATE, 99% pure, typically 1 micron, Ba < 2%, SrCO₃",LOOKUP_NEEDED,99%,None observed,unclassified,Unclassified,,PROVISIONAL: Unclassified,Koprimo S.A. de C.V.,1,2025-04-19,11865.0,38100.0,1,2,46036.51,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (2 deals), Invoice 2025",11225,11225,11225
"SURROGATE WASTE FEED, Cluster 1 DFHLW Feed for VSL 2025",LOOKUP_NEEDED,Unknown,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,Catholic University of America,1,2025-11-18,11687.43,13879.1,1,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2025,C3163,C3163,C3163
"CALCIUM ACETATE, Anhydrous, 98% pure, powder, C₄H₆O₄Ca",LOOKUP_NEEDED,98%,Anhydrous,unclassified,Unclassified,,PROVISIONAL: Unclassified,DAXX,1,2023-06-02,11590.9,20590.96,1,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2023,11228,11228,11228
"LIQUID SILICATE, PC- 4002 binder, raw material for SpaceX kit",LOOKUP_NEEDED,Unknown,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,SpaceX,1,2025-07-29,11475.9,44005.53,25,0,0.0,PENDING_REVIEW,PENDING_REVIEW,"Invoice 2023, Invoice 2024, Invoice 2025",R6022,R6022,R6022
"TITANIUM (IV) ETHOXIDE, Grace Davison Document No. EDRM -042, Rev. 2, (Titanium Tetraethoxide), Ti(C₂H₅O)₄",LOOKUP_NEEDED,Unknown,None observed,unclassified,Unclassified,,PROVISIONAL: Unclassified,W.R. Grace,1,2025-03-13,11438.9,41660.0,2,2,41660.0,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (2 deals), Invoice 2024, Invoice 2025",C2705,C2705,C2705
"BARIUM METAL, PIECES, 99% pure, ~ 1/4"" pieces, Sigma Aldrich Part Number X47595,  Ba",LOOKUP_NEEDED,99%,None observed,life-sciences-pharma,Life Sciences & Pharma,,PROVISIONAL: Life Sciences & Pharma,Aldrich Chemical Co. LLC,1,2023-12-05,11421.99,21222.0,1,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2023,C2928,C2928,C2928
"SURROGATE WASTE FEED,  AP-107/AP-106 Feed for VSL (2025)",LOOKUP_NEEDED,Unknown,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,Catholic University of America,1,2025-01-28,11381.68,15239.46,1,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2025,C3083,C3083,C3083
"SURROGATE WASTE FEED, Cluster 11 DFHLW Feed for VSL 2025",LOOKUP_NEEDED,Unknown,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,Catholic University of America,1,2025-07-29,11326.53,14045.96,1,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2025,C3135,C3135,C3135
"COPPER (II) SULFIDE, 3M RM No. 11-0018-3199-6, (Cupric Sulfide), CuS",LOOKUP_NEEDED,Unknown,None observed,advanced-manufacturing,Advanced Manufacturing,Unclassified,PROVISIONAL: Advanced Manufacturing; Unclassified,3M Corporation | Echo Therm,2,2025-10-24,11190.95,26418.0,2,0,0.0,PENDING_REVIEW,PENDING_REVIEW,"Invoice 2024, Invoice 2025",C2307,C2307,C2307
"SURROGATE WASTE FEED, AN-105 Envelope A1 Simulant Recipe #31mod w/GFR for BNI",LOOKUP_NEEDED,Unknown,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,Catholic University of America,1,2024-02-06,10900.25,13423.01,1,1,13423.01,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (1 deals), Invoice 2024",C2899,C2899,C2899
"LEAD (II) NITRATE, 1 Molar solution, 16.46% Pb, Pb(NO₃)₂",LOOKUP_NEEDED,16.46%,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,"B3 Systems, Inc.",1,2025-04-28,10880.72,20348.71,1,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2025,C2989,C2989,C2989
"ZINC SULFIDE, 99.99% pure, cubic, -325 mesh, <5 microns average,  ZnS",LOOKUP_NEEDED,99.99%,None observed,life-sciences-pharma,Life Sciences & Pharma,,PROVISIONAL: Life Sciences & Pharma,Aldrich Chemical Co. LLC,1,2025-12-03,10843.74,18989.86,4,5,23846.0,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (5 deals), Invoice 2023, Invoice 2025",90935,90935,90935
"ZINC ACETATE, DIHYDRATE, USP, powder,  Zn(OOCCH₃)₂.2H₂O",5970-45-6,USP,USP,unclassified,Unclassified,Life Sciences & Pharma,PROVISIONAL: Unclassified; Life Sciences & Pharma,Ask Chemicals L.P. | Weeks and Leo | Biotone,4,2025-09-23,10735.66,36425.5,7,5,15730.29,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (5 deals), Invoice 2024, Invoice 2025",90747,90747,90747
17789,LOOKUP_NEEDED,Unknown,None observed,unclassified,Unclassified,,PROVISIONAL: Unclassified,"Oakwood Products, Inc.",1,2024-03-28,10665.0,81765.0,1,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2024,17789,17789,17789
"CHROMIUM (III) OXIDE, ANHYDROUS, 99.5% pure, -325  mesh, typ. 0.5 mu, Green, (Chromium Sesquioxide, Anhydrous, Chromic Oxide, Anhydrous), Cr₂O₃",1308-38-9,99.5%,Anhydrous,unclassified,Unclassified,Advanced Manufacturing,PROVISIONAL: Unclassified; Advanced Manufacturing,"Heraeus Precious Metals NA | Eastman Chemical Company | Nexceris, LLC",10,2025-11-20,10651.02,21534.41,18,7,24806.95,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (7 deals), Invoice 2023, Invoice 2024, Invoice 2025",90166,90166,90166
"SURROGATE WASTE FEED, Cluster 6 DFHLW Feed for VSL 2025",LOOKUP_NEEDED,Unknown,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,Catholic University of America,1,2025-11-18,10566.77,11867.72,1,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2025,C3164,C3164,C3164
"CALCIUM NITRATE, TETRAHYDRATE, ACS Reagent, crystal,  Ca(NO₃)₂.4H₂O",LOOKUP_NEEDED,ACS Reagent | Reagent,ACS Reagent | Reagent,advanced-manufacturing,Advanced Manufacturing,Unclassified,PROVISIONAL: Advanced Manufacturing; Unclassified,Nanogence SA | CR Bard Inc | PT. Aik Moh Chemical Indonesia,3,2025-01-13,10479.83,12047.0,3,2,15847.31,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (2 deals), Invoice 2023, Invoice 2025",14180,14180,14180
"MAGNESIUM CHLORIDE, HEXAHYDRATE,96.99% pure, crystal, (Magnesium Dichloride, Hexahydrate), MgCl₂.6H₂O",LOOKUP_NEEDED,96.99%,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,Southwest Research Institute,1,2023-12-21,10380.0,20240.0,5,4,18400.0,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (4 deals), Invoice 2023, Invoice 2024",14690,14690,14690
"POTASSIUM HYDROXIDE, ACS Reagent, pellets,  KOH",LOOKUP_NEEDED,ACS Reagent | Reagent,ACS Reagent | Reagent,life-sciences-pharma,Life Sciences & Pharma,Unclassified | Consumer & Industrial,PROVISIONAL: Life Sciences & Pharma; Unclassified; Consumer & Industrial,Aldrich Chemical Co. LLC | Vallen Canada | SWIC Scientific & Chemical,3,2025-12-12,10378.61,37395.82,7,4,25088.32,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (4 deals), Invoice 2023, Invoice 2024, Invoice 2025",14905,14905,14905
"GALLIUM (III) BROMIDE, 99.999% pure, -50 mesh, (Gallium Tribromide), GaBr₃",LOOKUP_NEEDED,99.999%,None observed,life-sciences-pharma,Life Sciences & Pharma,,PROVISIONAL: Life Sciences & Pharma,Aldrich Chemical Co. LLC,1,2025-04-15,10319.35,12145.73,4,2,6115.54,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (2 deals), Invoice 2023, Invoice 2024, Invoice 2025",17451,17451,17451
"SODIUM SILICATE, 40% SOLUTION, 99% pure, (Sodium Metasilicate Solution) Na₂SiO₃",LOOKUP_NEEDED,40% | 99%,None observed,unclassified,Unclassified,,PROVISIONAL: Unclassified,HTM Manufacturing | Alchemy Geopolymer Solutions,2,2025-10-02,10293.96,28544.17,12,0,0.0,PENDING_REVIEW,PENDING_REVIEW,"Invoice 2023, Invoice 2024, Invoice 2025",11418,11418,11418
"ALUMINUM OXIDE, 99.8% pure, -325 mesh, (Alumina),Al₂O₃",LOOKUP_NEEDED,99.8%,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,SpaceX | Catholic University of America,2,2025-12-03,10147.04,29800.31,9,6,83608.0,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (6 deals), Invoice 2023, Invoice 2024, Invoice 2025",12700,12700,12700
"OXALIC ACID, DIHYDRATE, Technical grade, crystal, (Ethanedioic Acid, Dihydrate), (COOH)₂.2H₂O",LOOKUP_NEEDED,Technical Grade,Technical Grade,unclassified,Unclassified,,PROVISIONAL: Unclassified,"Minoritech, Inc. | METSS Corporation",2,2024-08-22,10131.8,13647.98,4,0,0.0,PENDING_REVIEW,PENDING_REVIEW,"Invoice 2023, Invoice 2024",12579,12579,12579
"GLYCINE, USP, crystalline powder, (Aminoacetic acid, H-Gly-OH), C₂H₅NO₂",LOOKUP_NEEDED,USP,USP,life-sciences-pharma,Life Sciences & Pharma,Advanced Manufacturing,PROVISIONAL: Life Sciences & Pharma; Advanced Manufacturing,"Biotron Laboratories, Inc. | Nutrisol LLC | Cascade Columbia Distribution",4,2025-10-20,9824.19,105087.29,7,20,1449213.64,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (20 deals), Invoice 2025",11591,11591,11591
"BARIUM SULFATE, 99% pure, -100 mesh, BaSO₄",7727-43-7,99%,None observed,unclassified,Unclassified,Advanced Manufacturing,PROVISIONAL: Unclassified; Advanced Manufacturing,Clean Air Cats | Pyrotek High Temperature | Wagstaff Inc.,7,2025-09-22,9577.95,20815.32,19,10,12270.38,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (10 deals), Invoice 2023, Invoice 2024, Invoice 2025",14819,14819,14819
"LITHIUM CHLORIDE, 99.8% pure, -20 mesh, LiCl",7447-41-8,99.8%,None observed,unclassified,Unclassified,Advanced Manufacturing | Life Sciences & Pharma,PROVISIONAL: Unclassified; Advanced Manufacturing; Life Sciences & Pharma,"International Battery Metals | Verdesian Life Sciences, LLC | Applied Food Diagnostics, LLC",4,2025-11-20,9451.95,33677.56,12,8,41893.93,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (8 deals), Invoice 2023, Invoice 2024, Invoice 2025",14993,14993,14993
C3071,LOOKUP_NEEDED,Unknown,None observed,unclassified,Unclassified,,PROVISIONAL: Unclassified,0014216,1,2024-05-17,9385.33,42000.0,1,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2024,C3071,C3071,C3071
"SURROGATE WASTE FEED, Simulant, AP-107 DFHLW, for PNNL",LOOKUP_NEEDED,Unknown,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,Battelle Pacific N. W. Labs,1,2023-05-04,9244.41,9478.39,1,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2023,C3031,C3031,C3031
"POTASSIUM FERRICYANIDE, ACS Reagent, crystalline powder, -30 mesh, special for Strem Chemicals, (Potassium Hexacyanoferrate (III)), K₃Fe(CN)₆",LOOKUP_NEEDED,ACS Reagent | Reagent,ACS Reagent | Reagent,advanced-manufacturing,Advanced Manufacturing,,PROVISIONAL: Advanced Manufacturing,"Strem Chemicals, Inc.",1,2025-12-11,9227.81,33719.0,4,2,46408.5,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (2 deals), Invoice 2023, Invoice 2024, Invoice 2025",C3004,C3004,C3004
"SODIUM CHLORITE, 80% pure, powder/flake",LOOKUP_NEEDED,80%,None observed,unclassified,Unclassified,,PROVISIONAL: Unclassified,Cyber Enviro-Tech | Stellar Chemical Corp,2,2025-05-02,9206.24,23269.5,7,5,20011.3,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (5 deals), Invoice 2023, Invoice 2024, Invoice 2025",11251,11251,11251
"LEAD ACETATE, Solution with 1% as elemental Pb",LOOKUP_NEEDED,1%,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,"B3 Systems, Inc.",1,2024-04-10,9205.52,9439.5,3,0,0.0,PENDING_REVIEW,PENDING_REVIEW,"Invoice 2023, Invoice 2024",C3040,C3040,C3040
"AMMONIUM FLUORIDE, ACS Reagent, crystal, NH₄F",LOOKUP_NEEDED,ACS Reagent | Reagent,ACS Reagent | Reagent,life-sciences-pharma,Life Sciences & Pharma,,PROVISIONAL: Life Sciences & Pharma,Spectrum Chemical Mfg. Corp,1,2025-09-10,9197.33,20568.6,3,2,13722.4,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (2 deals), Invoice 2024, Invoice 2025",11292,11292,11292
"POTASSIUM IODIDE, ACS Reagent, -20 mesh, KI",LOOKUP_NEEDED,ACS Reagent | Reagent,ACS Reagent | Reagent,unclassified,Unclassified,Consumer & Industrial,PROVISIONAL: Unclassified; Consumer & Industrial,"General Ecology Inc. | WET International, Inc | California Academy of Sciences",3,2025-11-11,9146.42,31599.4,6,4,37581.0,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (4 deals), Invoice 2023, Invoice 2024, Invoice 2025",13857,13857,13857
"BORON OXIDE, 99.98% pure, Sigma-Aldrich Part No. 339075-BULK, (Boron Trioxide, Boric Anhydride), B₂O₃",LOOKUP_NEEDED,99.98%,None observed,life-sciences-pharma,Life Sciences & Pharma,,PROVISIONAL: Life Sciences & Pharma,Aldrich Chemical Co. LLC,1,2025-05-13,9119.11,28465.3,6,2,22296.0,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (2 deals), Invoice 2023, Invoice 2024, Invoice 2025",C2904,C2904,C2904
C3073,LOOKUP_NEEDED,Unknown,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,Catholic University of America,1,2024-06-03,9092.32,11922.11,1,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2024,C3073,C3073,C3073
"CHROMIUM (III) CHLORIDE, HEXAHYDRATE, FCC, crystal, (Chromic Chloride, Hexahydrate), CrCl₃.6H₂O",LOOKUP_NEEDED,FCC,FCC,life-sciences-pharma,Life Sciences & Pharma,,PROVISIONAL: Life Sciences & Pharma,"Glanbia Nutritionals (NA), Inc | CTS Corporation",2,2025-09-23,9061.85,25382.55,7,5,24265.8,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (5 deals), Invoice 2024, Invoice 2025",11654,11654,11654
"ZINC SULFATE, HEPTAHYDRATE, Atotech Material No. 1665095,_x000D_
ZnSO₄.7H₂O",LOOKUP_NEEDED,Unknown,None observed,unclassified,Unclassified,,PROVISIONAL: Unclassified,"Atotech USA, LLC",1,2025-05-08,8984.74,28232.25,9,6,36266.0,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (6 deals), Invoice 2023, Invoice 2024, Invoice 2025",C2797,C2797,C2797
"Nitric Acid, 10µM Solution, pH Target 5",LOOKUP_NEEDED,Unknown,None observed,unclassified,Unclassified,,PROVISIONAL: Unclassified,"NuVision Engineering, Inc.",1,2025-11-21,8955.0,8955.0,1,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2025,C3172,C3172,C3172
"SURROGATE WASTE FEED, Simulant, AN-105 DFHLW, for PNNL",LOOKUP_NEEDED,Unknown,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,Battelle Pacific N. W. Labs,1,2023-06-08,8831.45,9172.02,1,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2023,C3029,C3029,C3029
"IRON (III) HYDROXIDE OXIDE, 99.5% pure, -325 mesh, (Ferric Hydroxide), FeO(OH)",20344-49-4,99.5%,None observed,life-sciences-pharma,Life Sciences & Pharma,Unclassified | Energy & Nuclear,PROVISIONAL: Life Sciences & Pharma; Unclassified; Energy & Nuclear,"Thermo Fisher Scientific | Veolia Nuclear Solutions, Inc. | Steel Jupiter",5,2025-10-10,8769.49,11186.09,11,6,7924.1,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (6 deals), Invoice 2023, Invoice 2024, Invoice 2025",11394,11394,11394
"SILICON, ELEMENTAL, POWDER, 99% pure, -325 mesh, Si",LOOKUP_NEEDED,99%,None observed,life-sciences-pharma,Life Sciences & Pharma,,PROVISIONAL: Life Sciences & Pharma,Aldrich Chemical Co. LLC | SpaceX,2,2025-10-14,8662.56,10304.2,2,1,250.0,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (1 deals), Invoice 2023, Invoice 2025",16067,16067,16067
"SILICOTUNGSTIC ACID, HYDRATE, Reagent, crystal, (Tungstosilicic Acid, Hydrate), H₄SiW₁₂O₄₀.xH₂O",LOOKUP_NEEDED,Reagent,Reagent,life-sciences-pharma,Life Sciences & Pharma,,PROVISIONAL: Life Sciences & Pharma,Thermo Fisher Scientific,1,2025-12-11,8497.83,14041.5,4,3,10378.5,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (3 deals), Invoice 2024, Invoice 2025",16983,16983,16983
"SODIUM PHOSPHATE DIBASIC, ANHYDROUS, ACS Reagent, powder, (Disodium Phosphate; Disodium Hydrogen Phosphate), Na₂HPO₄",7558-79-4,ACS Reagent | Reagent,ACS Reagent | Anhydrous | Reagent,life-sciences-pharma,Life Sciences & Pharma,Consumer & Industrial,PROVISIONAL: Life Sciences & Pharma; Consumer & Industrial,"World Bioproducts LLC | Crystal Claire Cosmetics Inc. | Applied Food Diagnostics, LLC",3,2025-12-08,8488.79,17308.8,17,8,16537.24,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (8 deals), Invoice 2023, Invoice 2024, Invoice 2025",12483,12483,12483
"SODIUM NITRITE, FCC, granular,  NaNO₂",LOOKUP_NEEDED,FCC,FCC,unclassified,Unclassified,,PROVISIONAL: Unclassified,"Casey Ingredients, Inc.",1,2023-06-06,8434.2,90190.4,2,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2023,90819,90819,90819
"LEAD (II) ACETATE, TRIHYDRATE, 99% pure, -10 mesh,  Pb(OOCCH₃)₂.3H₂O",LOOKUP_NEEDED,99%,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,"B3 Systems, Inc.",1,2024-07-26,8431.0,22096.83,1,1,23998.8,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (1 deals), Invoice 2024",16110,16110,16110
"THALLIUM (III) OXIDE, 99.5% pure, -20 mesh, (Thallic Oxide, Thallium Sesquioxide), Tl₂O₃",LOOKUP_NEEDED,99.5%,None observed,life-sciences-pharma,Life Sciences & Pharma,,PROVISIONAL: Life Sciences & Pharma,Thermo Fisher Scientific,1,2024-05-28,8426.64,9911.52,1,2,26926.32,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (2 deals), Invoice 2024",90593,90593,90593
"SURROGATE WASTE, Batch #2 SWARM Supernatant for Battelle (20",LOOKUP_NEEDED,Unknown,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,Battelle Pacific N. W. Labs,1,2025-04-03,8304.28,10163.82,1,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2025,C3085,C3085,C3085
"AMMONIUM TUNGSTATE, META, HYDRATE, 99.9% pure, -100 mesh, (Ammonium Tungsten Oxide, Hydrate), (NH₄)₆H₂W₁₂O₄₀.xH₂O",LOOKUP_NEEDED,99.9%,None observed,life-sciences-pharma,Life Sciences & Pharma,,PROVISIONAL: Life Sciences & Pharma,Thermo Fisher (Kandel) GmbH,1,2024-11-13,8235.22,11920.0,2,1,5960.0,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (1 deals), Invoice 2024",11113,11113,11113
"MANGANESE (II) CARBONATE, 98% pure, -200 mesh, MnCO₃",LOOKUP_NEEDED,98%,None observed,unclassified,Unclassified,,PROVISIONAL: Unclassified,"SKF USA, Inc. | Mason Color Works, Inc | NC State University",5,2024-09-19,8143.44,18993.5,9,3,10386.89,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (3 deals), Invoice 2023, Invoice 2024",14734,14734,14734
12034,LOOKUP_NEEDED,Unknown,None observed,unclassified,Unclassified,,PROVISIONAL: Unclassified,0014227 | Honeywell,2,2024-04-19,8133.75,10268.75,2,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2024,12034,12034,12034
"SURROGATE WASTE, Batch #4 SWARM Supernatant for Battelle (2025)",LOOKUP_NEEDED,Unknown,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,Battelle Pacific N. W. Labs,1,2025-06-16,7977.15,8957.38,1,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2025,C3087,C3087,C3087
"POTASSIUM FLUORIDE, ANHYDROUS, 99% pure, ACS Reagent, -20 mesh,  KF",LOOKUP_NEEDED,99% | ACS Reagent | Reagent,ACS Reagent | Anhydrous | Reagent,unclassified,Unclassified,,PROVISIONAL: Unclassified,Kingston Process Metallurgy,1,2025-07-16,7918.78,31960.0,3,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2025,18340,18340,18340
"THALLIUM (I) NITRATE, 99.99% pure, -40 mesh, (Thallous Nitrate), TlNO₃",LOOKUP_NEEDED,99.99%,None observed,advanced-manufacturing,Advanced Manufacturing,Unclassified,PROVISIONAL: Advanced Manufacturing; Unclassified,"Strem Chemicals, Inc. | Spex CertiPrep",2,2025-06-23,7836.41,12375.0,5,1,5275.0,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (1 deals), Invoice 2024, Invoice 2025",15933,15933,15933
"THALLIUM (I) ACETATE, 99.9% pure, -60 mesh, (Thallous Acetate),  TlOOCCH₃",LOOKUP_NEEDED,99.9%,None observed,unclassified,Unclassified,,PROVISIONAL: Unclassified,DC Fine Chemicals | Labworld International Corp.,2,2025-08-14,7835.53,9884.0,4,5,11458.4,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (5 deals), Invoice 2024, Invoice 2025",14661,14661,14661
"SODIUM ORTHOVANADATE, Acros Product 20533-0000,  Version 4, Na₃VO₄",LOOKUP_NEEDED,Unknown,None observed,life-sciences-pharma,Life Sciences & Pharma,,PROVISIONAL: Life Sciences & Pharma,Acros Organics B.V.,1,2025-12-09,7770.73,8349.0,5,3,5484.75,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (3 deals), Invoice 2023, Invoice 2024, Invoice 2025",C2375,C2375,C2375
"MAGNESIUM OXIDE, 98% pure, -200 mesh, MgO",LOOKUP_NEEDED,98%,None observed,unclassified,Unclassified,,PROVISIONAL: Unclassified,"Babcock & Wilcox Company | Hanco Industries, ltd. | KPL Group",5,2025-09-16,7718.51,10358.0,7,2,5669.96,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (2 deals), Invoice 2023, Invoice 2024, Invoice 2025",17990,17990,17990
"SURROGATE WASTE, Batch #5 SWARM Supernatant for Battelle (2025)",LOOKUP_NEEDED,Unknown,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,Battelle Pacific N. W. Labs,1,2025-07-14,7713.86,9089.38,1,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2025,C3088,C3088,C3088
